error	reads	squared_error
-0.0029000000000000137	500	8.410000000000079e-6
5.00000000000056e-4	600	2.5000000000005595e-7
-0.0016142857142856792	700	2.605918367346826e-6
9.000000000000119e-4	800	8.100000000000215e-7
3.1111111111115086e-4	900	9.679012345681485e-8
9.200000000000319e-4	1000	8.464000000000587e-7
0.0013300000000000534	1000	1.768900000000142e-6
6.599999999999939e-4	2000	4.3559999999999196e-7
2.2333333333335315e-4	3000	4.9877777777786624e-8
4.6250000000003233e-4	4000	2.139062500000299e-7
6.60000000000105e-5	5000	4.356000000001385e-9
1.3166666666664106e-4	6000	1.7336111111104368e-8
3.342857142857314e-4	7000	1.1174693877552164e-7
-1.0250000000000536e-4	8000	1.05062500000011e-8
7.755555555555294e-4	9000	6.014864197530458e-7
3.0799999999997496e-4	10000	9.486399999998458e-8
0.04511811023622048	1	0.002035643871287743
-0.004881889763779568	2	2.3832847665695724e-5
-0.008215223097112867	3	6.748989053533673e-5
-0.0073818897637795144	4	5.4492296484592776e-5
-8.818897637794532e-4	5	7.777295554589797e-7
1.1811023622054773e-4	6	1.3950027900073584e-8
0.006546681664791887	7	4.285904082012227e-5
0.01136811023622053	8	1.29233930342862e-4
0.005118110236220441	9	2.619505239010446e-5
-0.004881889763779457	10	2.383284766569464e-5
-0.004881889763779457	10	2.383284766569464e-5
-0.009381889763779516	20	8.801985553971087e-5
-0.0012152230971128608	30	1.4767671757565735e-6
8.681102362204651e-4	40	7.536153822307518e-7
-4.818897637794972e-4	50	2.3221774443545963e-7
-0.0017152230971128057	60	2.9419902728692454e-6
0.0014038245219347711	70	1.970723288385389e-6
-6.318897637794807e-4	80	3.992846735692879e-7
4.5144356955384435e-4	90	2.038012964915167e-7
0.0024181102362205165	100	5.847257114514442e-6
-7.818897637795752e-4	100	6.113516027032799e-7
-0.0010318897637795477	200	1.0647964845930106e-6
5.181102362205037e-4	300	2.684382168764661e-7
-0.0021318897637795375	400	4.544953964907973e-6
-5.018897637795172e-4	500	2.518933349866596e-7
6.681102362204872e-4	600	4.4637128774259516e-7
-0.0015676040494938537	700	2.4573824559895284e-6
-2.443897637794956e-4	800	5.972635664019766e-8
-0.001093000874890615	900	1.1946509125116498e-6
2.181102362204257e-4	1000	4.7572075144129894e-8
5.081102362204382e-4	1000	2.5817601215198946e-7
2.981102362205057e-4	2000	8.886971293944571e-8
-8.522309711289644e-5	3000	7.262976281514178e-9
5.931102362204399e-4	4000	3.51779752309466e-7
-3.6588976377949223e-4	5000	1.3387531923861261e-7
7.977690288718531e-5	6000	6.364354234271396e-9
4.909673790776115e-4	7000	2.4104896731833903e-7
-1.8897637795722844e-6	8000	3.5712071425833254e-12
6.9991251093748375e-06	9000	4.898775229668133e-11
-2.6788976377956075e-4	10000	7.176492553786886e-8
0.008403361344537785	1	7.06164818868719e-5
-0.006596638655462228	2	4.351564155073851e-5
-0.0015966386554622236	3	2.5492549961162173e-6
0.003403361344537781	4	1.158286844149401e-5
0.004403361344537782	5	1.938959113056958e-5
-0.004929971988795523	6	2.4304623810308483e-5
-1.680672268907779e-4	7	2.8246592754756222e-8
9.033613445378341e-4	8	8.160617188052034e-7
0.0028478057889822495	9	8.109997811760812e-6
0.00240336134453778	10	5.776145752418446e-6
-5.966386554622227e-4	10	3.559776851917689e-7
9.033613445378341e-4	20	8.160617188052034e-7
7.366946778710748e-4	30	5.427190484035667e-7
0.0011533613445378066	40	1.330242391074057e-6
3.3613445378222195e-6	50	1.1298637101947271e-11
-2.633053221289261e-4	60	6.932969266141754e-8
-5.966386554622227e-4	70	3.559776851917689e-7
-9.663865546216677e-5	80	9.339029729535375e-9
5.144724556489511e-4	90	2.6468190762146193e-7
0.001003361344537823	100	1.0067339877127481e-6
-7.966386554622007e-4	100	6.346331473766229e-7
7.533613445377396e-4	200	5.675533154437108e-7
8.366946778710638e-4	300	7.000579839777632e-7
4.283613445378309e-4	400	1.8349344149425828e-7
2.833613445377692e-4	500	8.029365157825233e-8
5.866946778710913e-4	600	3.442106450422636e-7
-3.3949579831937804e-4	700	1.152573970765118e-7
-7.163865546222503e-5	800	5.1320969564353845e-9
3.1447245564886206e-4	900	9.889292536182552e-8
-9.663865546216677e-5	1000	9.339029729535375e-9
5.733613445377816e-4	1000	3.287432314101728e-7
-2.6638655462152272e-5	2000	7.096179648312551e-10
2.4002801120448503e-4	3000	5.761344616278039e-8
-2.416386554622285e-4	4000	5.8389239813593576e-8
-1.5063865546216526e-4	5000	2.269200451944893e-8
-6.663865546219228e-5	6000	4.440710401808769e-9
1.9075630252052278e-5	7000	3.6387966951301206e-10
-7.288865546217771e-5	8000	5.3127560950840484e-9
4.002801120439603e-5	9000	1.6022416809792541e-9
2.673613445377532e-4	10000	7.148208855303516e-8
-0.011666666666666714	1	1.361111111111122e-4
-0.01666666666666672	2	2.777777777777795e-4
-0.0050000000000000044	3	2.5000000000000045e-5
-0.004166666666666652	4	1.736111111111099e-5
0.006333333333333302	5	4.011111111111071e-5
-0.0033333333333334103	6	1.1111111111111625e-5
0.004047619047618967	7	1.638321995464787e-5
-0.0016666666666667052	8	2.7777777777779062e-6
-0.0016666666666667052	9	2.7777777777779062e-6
-0.0016666666666667052	10	2.7777777777779062e-6
-0.003666666666666707	10	1.344444444444474e-5
-0.002666666666666706	20	7.111111111111321e-6
0.0033333333333332993	30	1.1111111111110885e-5
0.002083333333333326	40	4.340277777777747e-6
7.333333333332526e-4	50	5.377777777776593e-7
-3.3333333333340764e-4	60	1.1111111111116065e-7
-3.809523809523707e-4	70	1.4512471655328017e-7
-1.666666666666483e-4	80	2.777777777777166e-8
5.555555555555314e-4	90	3.086419753086151e-7
2.3333333333330764e-4	100	5.4444444444432454e-8
1.3333333333331865e-4	100	1.7777777777773863e-8
4.333333333332856e-4	200	1.8777777777773643e-7
-3.666666666667373e-4	300	1.3444444444449624e-7
-8.666666666666822e-4	400	7.511111111111381e-7
5.133333333332546e-4	500	2.6351111111103026e-7
1.3333333333331865e-4	600	1.7777777777773863e-8
-1.523809523810149e-4	700	2.321995464854513e-8
2.458333333332785e-4	800	6.043402777775082e-8
3.666666666666263e-4	900	1.3444444444441482e-7
-1.866666666666683e-4	1000	3.4844444444445056e-8
2.7333333333334764e-4	1000	7.471111111111894e-8
-6.666666666665932e-5	2000	4.444444444443466e-9
9.666666666663382e-5	3000	9.344444444438093e-9
-1.0666666666669933e-4	4000	1.1377777777784746e-8
1.4933333333333465e-4	5000	2.230044444444484e-8
-3.450000000000397e-4	6000	1.190250000000274e-7
-1.295238095238016e-4	7000	1.6776417233558037e-8
3.3333333333551707e-6	8000	1.1111111111256693e-11
-8.88888888889161e-5	9000	7.901234567906073e-9
8.333333333276904e-6	10000	6.944444444350396e-11
0.054545454545454564	1	0.00297520661157025
-0.030454545454545512	2	9.274793388429787e-4
-0.008787878787878789	3	7.722681359044997e-5
0.012045454545454581	4	1.4509297520661244e-4
